"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"03:34:42.198, 21 kwi 2023","4,9","0,0","524 288 000","365 064 504","10 110","0","33","23"
"03:34:52.198, 21 kwi 2023","5,0","0,0","524 288 000","237 047 088","10 110","0","33","23"
"03:35:02.199, 21 kwi 2023","4,9","0,0","524 288 000","331 441 424","10 110","0","32","22"
"03:35:12.199, 21 kwi 2023","5,0","0,0","524 288 000","427 921 040","10 110","0","36","26"
"03:35:22.201, 21 kwi 2023","5,0","0,0","524 288 000","296 896 096","10 110","0","36","26"
"03:35:32.202, 21 kwi 2023","4,9","0,0","524 288 000","404 684 304","10 110","0","36","26"
"03:35:42.203, 21 kwi 2023","5,0","0,0","524 288 000","281 243 656","10 110","0","32","22"
"03:35:52.204, 21 kwi 2023","5,0","0,0","524 288 000","388 249 584","10 110","0","32","22"
"03:36:02.205, 21 kwi 2023","5,0","0,0","524 288 000","254 310 288","10 110","0","35","25"
"03:36:12.206, 21 kwi 2023","5,1","0,0","524 288 000","355 319 912","10 110","0","35","25"
"03:36:22.207, 21 kwi 2023","5,0","0,0","524 288 000","236 071 104","10 110","0","35","25"
"03:36:32.208, 21 kwi 2023","5,0","0,0","524 288 000","336 664 408","10 110","0","35","25"
"03:36:42.209, 21 kwi 2023","5,0","0,0","524 288 000","445 651 976","10 110","0","35","25"
"03:36:52.209, 21 kwi 2023","5,0","0,0","524 288 000","315 684 440","10 110","0","35","25"
"03:37:02.210, 21 kwi 2023","4,9","0,0","524 288 000","426 926 848","10 110","0","33","23"
"03:37:12.211, 21 kwi 2023","4,9","0,0","524 288 000","294 610 136","10 110","0","32","22"
"03:37:22.213, 21 kwi 2023","5,0","0,0","524 288 000","405 799 688","10 110","0","32","22"
"03:37:32.213, 21 kwi 2023","4,9","0,0","524 288 000","283 979 696","10 110","0","32","22"
"03:37:42.213, 21 kwi 2023","4,9","0,0","524 288 000","389 100 888","10 110","0","32","22"
"03:37:52.214, 21 kwi 2023","5,0","0,0","524 288 000","261 306 472","10 110","0","34","24"
"03:38:02.215, 21 kwi 2023","5,0","0,0","524 288 000","370 559 992","10 110","0","34","24"
"03:38:12.216, 21 kwi 2023","4,9","0,0","524 288 000","242 847 384","10 110","0","34","24"
"03:38:22.216, 21 kwi 2023","4,9","0,0","524 288 000","345 678 488","10 110","0","32","22"
